iso3_code,capital_city
ABW,Oranjestad
AFE,
AFG,Kabul
AFR,
AFW,
AGO,Luanda
ALB,Tirane
AND,Andorra la Vella
ARB,
ARE,Abu Dhabi
ARG,Buenos Aires
ARM,Yerevan
ASM,Pago Pago
ATG,Saint John's
AUS,Canberra
AUT,Vienna
AZE,Baku
BDI,Bujumbura
BEA,
BEC,
BEL,Brussels
BEN,Porto-Novo
BFA,Ouagadougou
BGD,Dhaka
BGR,Sofia
BHI,
BHR,Manama
BHS,Nassau
BIH,Sarajevo
BLA,
BLR,Minsk
BLZ,Belmopan
BMN,
BMU,Hamilton
BOL,La Paz
BRA,Brasilia
BRB,Bridgetown
BRN,Bandar Seri Begawan
BSS,
BTN,Thimphu
BWA,Gaborone
CAA,
CAF,Bangui
CAN,Ottawa
CEA,
CEB,
CEU,
CHE,Bern
CHI,
CHL,Santiago
CHN,Beijing
CIV,Yamoussoukro
CLA,
CME,
CMR,Yaounde
COD,Kinshasa
COG,Brazzaville
COL,Bogota
COM,Moroni
CPV,Praia
CRI,San Jose
CSA,
CSS,
CUB,Havana
CUW,Willemstad
CYM,George Town
CYP,Nicosia
CZE,Prague
DEA,
DEC,
DEU,Berlin
DJI,Djibouti
DLA,
DMA,Roseau
DMN,
DNK,Copenhagen
DNS,
DOM,Santo Domingo
DSA,
DSF,
DSS,
DZA,Algiers
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,Quito
EGY,Cairo
EMU,
ERI,Asmara
ESP,Madrid
EST,Tallinn
ETH,Addis Ababa
EUU,
FIN,Helsinki
FJI,Suva
FRA,Paris
FRO,Torshavn
FSM,Palikir
FXS,
GAB,Libreville
GBR,London
GEO,Tbilisi
GHA,Accra
GIB,
GIN,Conakry
GMB,Banjul
GNB,Bissau
GNQ,Malabo
GRC,Athens
GRD,Saint George's
GRL,Nuuk
GTM,Guatemala City
GUM,Agana
GUY,Georgetown
HIC,
HKG,
HND,Tegucigalpa
HPC,
HRV,Zagreb
HTI,Port-au-Prince
HUN,Budapest
IBB,
IBD,
IBT,
IDA,
IDB,
IDN,Jakarta
IDX,
IMN,Douglas
IND,New Delhi
INX,
IRL,Dublin
IRN,Tehran
IRQ,Baghdad
ISL,Reykjavik
ISR,
ITA,Rome
JAM,Kingston
JOR,Amman
JPN,Tokyo
KAZ,Astana
KEN,Nairobi
KGZ,Bishkek
KHM,Phnom Penh
KIR,Tarawa
KNA,Basseterre
KOR,Seoul
KWT,Kuwait City
LAC,
LAO,Vientiane
LBN,Beirut
LBR,Monrovia
LBY,Tripoli
LCA,Castries
LCN,
LDC,
LIC,
LIE,Vaduz
LKA,Colombo
LMC,
LMY,
LSO,Maseru
LTE,
LTU,Vilnius
LUX,Luxembourg
LVA,Riga
MAC,
MAF,Marigot
MAR,Rabat
MCO,Monaco
MDA,Chisinau
MDE,
MDG,Antananarivo
MDV,Male
MEA,
MEX,Mexico City
MHL,Majuro
MIC,
MKD,Skopje
MLI,Bamako
MLT,Valletta
MMR,Naypyidaw
MNA,
MNE,Podgorica
MNG,Ulaanbaatar
MNP,Saipan
MOZ,Maputo
MRT,Nouakchott
MUS,Port Louis
MWI,Lilongwe
MYS,Kuala Lumpur
NAC,
NAF,
NAM,Windhoek
NCL,Noum'ea
NER,Niamey
NGA,Abuja
NIC,Managua
NLD,Amsterdam
NOR,Oslo
NPL,Kathmandu
NRS,
NRU,Yaren District
NXS,
NZL,Wellington
OED,
OMN,Muscat
OSS,
PAK,Islamabad
PAN,Panama City
PER,Lima
PHL,Manila
PLW,Koror
PNG,Port Moresby
POL,Warsaw
PRE,
PRI,San Juan
PRK,Pyongyang
PRT,Lisbon
PRY,Asuncion
PSE,
PSS,
PST,
PYF,Papeete
QAT,Doha
ROU,Bucharest
RRS,
RUS,Moscow
RWA,Kigali
SAS,
SAU,Riyadh
SDN,Khartoum
SEN,Dakar
SGP,Singapore
SLB,Honiara
SLE,Freetown
SLV,San Salvador
SMR,San Marino
SOM,Mogadishu
SRB,Belgrade
SSA,
SSD,Juba
SSF,
SST,
STP,Sao Tome
SUR,Paramaribo
SVK,Bratislava
SVN,Ljubljana
SWE,Stockholm
SWZ,Mbabane
SXM,Philipsburg
SXZ,
SYC,Victoria
SYR,Damascus
TCA,Grand Turk
TCD,N'Djamena
TEA,
TEC,
TGO,Lome
THA,Bangkok
TJK,Dushanbe
TKM,Ashgabat
TLA,
TLS,Dili
TMN,
TON,Nuku'alofa
TSA,
TSS,
TTO,Port-of-Spain
TUN,Tunis
TUR,Ankara
TUV,Funafuti
TZA,Dodoma
UGA,Kampala
UKR,Kiev
UMC,
URY,Montevideo
USA,Washington D.C.
UZB,Tashkent
VCT,Kingstown
VEN,Caracas
VGB,Road Town
VIR,Charlotte Amalie
VNM,Hanoi
VUT,Port-Vila
WLD,
WSM,Apia
XKX,Pristina
XZN,
YEM,Sana'a
ZAF,Pretoria
ZMB,Lusaka
ZWE,Harare
