iso3_code,country_name,coffee_production_qty,production_unit,coffee_export_value_usd1000,export_unit
AGO,Angola,5206.0,t,,
BLZ,Belize,89.53,t,,
BEN,Benin,55.3,t,,
BOL,Bolivia (Plurinational State of),23238.78,t,,
BRA,Brazil,3179341.0,t,,
BDI,Burundi,10500.0,t,,
CPV,Cabo Verde,47.0,t,,
KHM,Cambodia,361.76,t,,
CMR,Cameroon,32255.27,t,,
CAF,Central African Republic,306900.66,t,,
CHN,China,108980.0,t,,
CHN,"China, mainland",108000.0,t,,
TWN,"China, Taiwan Province of",980.0,t,,
COL,Colombia,665015.95,t,,
COM,Comoros,141.13,t,,
COG,Congo,3179.08,t,,
COK,Cook Islands,0.36,t,,
CRI,Costa Rica,74620.26,t,,
CIV,Côte d'Ivoire,89878.0,t,,
CUB,Cuba,6252.0,t,,
COD,Democratic Republic of the Congo,58817.48,t,,
DMA,Dominica,360.13,t,,
DOM,Dominican Republic,20577.02,t,,
ECU,Ecuador,7965.97,t,,
SLV,El Salvador,41866.0,t,,
GNQ,Equatorial Guinea,4076.41,t,,
ETH,Ethiopia,545566.36,t,,
FJI,Fiji,14.38,t,,
PYF,French Polynesia,22.03,t,,
GAB,Gabon,103.9,t,,
GHA,Ghana,736.0,t,,
GTM,Guatemala,238354.0,t,,
GIN,Guinea,261645.0,t,,
GUY,Guyana,567.0,t,,
HTI,Haiti,5066.0,t,,
HND,Honduras,330111.31,t,,
IND,India,352000.0,t,,
IDN,Indonesia,774960.53,t,,
JAM,Jamaica,7064.1,t,,
KEN,Kenya,51900.0,t,,
LAO,Lao People's Democratic Republic,171000.0,t,,
LBR,Liberia,655.85,t,,
MDG,Madagascar,50532.03,t,,
MWI,Malawi,11000.0,t,,
MYS,Malaysia,3849.58,t,,
MUS,Mauritius,,t,,
MEX,Mexico,188710.0,t,,
MOZ,Mozambique,802.61,t,,
MMR,Myanmar,8557.0,t,,
NPL,Nepal,355.0,t,,
NCL,New Caledonia,1.54,t,,
NIC,Nicaragua,170180.53,t,,
NGA,Nigeria,1819.02,t,,
PAN,Panama,6189.06,t,,
PNG,Papua New Guinea,40800.0,t,,
PRY,Paraguay,394.55,t,,
PER,Peru,357346.42,t,,
PHL,Philippines,59962.36,t,,
PRI,Puerto Rico,2740.0,t,,
RWA,Rwanda,18945.39,t,,
LCA,Saint Lucia,,t,,
VCT,Saint Vincent and the Grenadines,189.55,t,,
WSM,Samoa,11.82,t,,
STP,Sao Tome and Principe,7.19,t,,
SAU,Saudi Arabia,,t,,
SLE,Sierra Leone,2580.0,t,,
LKA,Sri Lanka,4828.0,t,,
SUR,Suriname,6.22,t,,
THA,Thailand,18740.0,t,,
TLS,Timor-Leste,11571.53,t,,
TGO,Togo,25132.0,t,,
TON,Tonga,15.24,t,,
TTO,Trinidad and Tobago,765.48,t,,
UGA,Uganda,507000.0,t,,
TZA,United Republic of Tanzania,66837.0,t,,
USA,United States of America,3759.0,t,,
VUT,Vanuatu,15.0,t,,
VEN,Venezuela (Bolivarian Republic of),57177.0,t,,
VNM,Viet Nam,1953990.16,t,,
YEM,Yemen,23945.0,t,,
ZMB,Zambia,8841.03,t,,
ZWE,Zimbabwe,681.0,t,,
