country_name,iso3_code,gni_per_capita_usd,price_level_index,ppp_conversion_factor,representative_city,coffee_production_qty,coffee_export_value_usd1000,purchasing_power_ratio,living_affordability_score
Aruba,ABW,31690.0,73.4348492289676,1.31448380119852,Oranjestad,,,431.54,33.1
Africa Eastern and Southern,AFE,1599.69559712408,,,,,,,
Afghanistan,AFG,370.0,18.7769834830579,14.7887521912564,Kabul,,,19.7,0.54
Africa Western and Central,AFW,2020.59282821637,,,,,,,
Angola,AGO,2650.0,30.2154554475251,220.826283791255,Luanda,,,87.7,5.92
Albania,ALB,8740.0,39.2019320568568,39.4547845186235,Tirane,,,222.95,16.61
Andorra,AND,47920.0,65.207668023379,0.603066309036457,Andorra la Vella,,,734.88,57.07
Arab World,ARB,7653.44586249344,,,,,,,
United Arab Emirates,ARE,51100.0,63.8951543197588,2.34654954239314,Abu Dhabi,,,799.75,62.2
Argentina,ARG,12920.0,47.1522008770533,139.692187078265,Buenos Aires,,,274.01,20.64
Armenia,ARM,6850.0,37.8580675957975,148.585343699986,Yerevan,,,180.94,13.29
Antigua and Barbuda,ATG,20250.0,69.0200728873085,1.86354196795733,Saint John's,,,293.39,22.18
Australia,AUS,63320.0,90.017903054288,1.337468,Canberra,,,703.42,54.59
Austria,AUT,55890.0,76.1898638035308,0.704634,Vienna,,,733.56,56.97
Azerbaijan,AZE,6680.0,30.1339197674035,0.51227663604586,Baku,,,221.68,16.51
Burundi,BDI,280.0,21.7700759178039,751.11355685453,Bujumbura,,,12.86,0.0
Belgium,BEL,55520.0,76.0635716278445,0.703466,Brussels,,,729.92,56.68
Benin,BEN,1390.0,33.7298088877381,204.623566036542,Porto-Novo,,,41.21,2.24
Burkina Faso,BFA,840.0,31.6195518530494,191.794636626162,Ouagadougou,,,26.57,1.08
Bangladesh,BGD,2880.0,27.8637828611553,28.6070991451479,Dhaka,,,103.36,7.15
Bulgaria,BGR,14240.0,40.8300441715447,0.377621911406109,Sofia,,,348.76,26.55
Bahrain,BHR,28460.0,45.6062202395205,0.171479388100597,Manama,,,624.04,48.31
"Bahamas, The",BHS,35180.0,97.7236382694572,0.977236382694572,Nassau,,,359.99,27.44
Bosnia and Herzegovina,BIH,8280.0,37.0589900689945,0.670472360097951,Sarajevo,,,223.43,16.64
Belarus,BLR,7850.0,25.5893013103649,0.769559852957259,Minsk,,,306.77,23.23
Belize,BLZ,6850.0,54.0327889034715,1.08065577806943,Belmopan,,,126.77,9.0
Bermuda,BMU,133460.0,117.047800140108,1.17047800140108,Hamilton,,,1140.22,89.11
Bolivia,BOL,4230.0,33.1302078287776,2.28929736096853,La Paz,,,127.68,9.08
Brazil,BRA,9310.0,48.9668945108392,2.44559278607045,Brasilia,,,190.13,14.01
Barbados,BRB,24710.0,110.389494448318,2.20778988896636,Bridgetown,,,223.84,16.68
Brunei Darussalam,BRN,34390.0,38.6480738036016,0.519074549641412,Bandar Seri Begawan,,,889.82,69.32
Bhutan,BTN,3730.0,23.6085982216234,19.5005312048098,Thimphu,,,157.99,11.47
Botswana,BWA,8150.0,37.2207107189768,5.06067038467414,Gaborone,,,218.96,16.29
Central African Republic,CAF,530.0,39.4218965074556,239.121299090532,Bangui,,,13.44,0.05
Canada,CAN,55340.0,84.4299358903067,1.139727,Ottawa,,,655.45,50.8
Central Europe and the Baltics,CEB,20535.501908314,,,,,,,
Switzerland,CHE,98160.0,111.187993188572,0.999013,Bern,,,882.83,68.77
Chile,CHL,15970.0,51.4914125366645,432.562121,Santiago,,,310.15,23.5
China,CHN,13750.0,51.3934255336289,3.64070923693376,Beijing,,,267.54,20.13
Cote d'Ivoire,CIV,2510.0,35.7850805696667,217.061473748726,Yamoussoukro,,,70.14,4.53
Cameroon,CMR,1680.0,31.7710503563486,192.713580718878,Yaounde,,,52.88,3.16
"Congo, Dem. Rep.",COD,680.0,38.1174068146478,931.662587387676,Kinshasa,,,17.84,0.39
"Congo, Rep.",COG,2310.0,36.1436110410936,219.236211132934,Brazzaville,,,63.91,4.04
Colombia,COL,6760.0,32.9507324741011,1425.433859,Bogota,,,205.15,15.2
Comoros,COM,1670.0,44.2396522430517,201.286540985159,Moroni,,,37.75,1.97
Cabo Verde,CPV,4740.0,46.7768084314991,47.6210423510559,Praia,,,101.33,6.99
Costa Rica,CRI,14330.0,58.6051480974268,318.841763,San Jose,,,244.52,18.31
Caribbean small states,CSS,17037.259347586,,,,,,,
Cuba,CUB,9010.0,,,Havana,,,,
Curacao,CUW,21400.0,69.1655413375575,1.23806318994228,Willemstad,,,309.4,23.44
Cayman Islands,CYM,73970.0,113.202134837481,0.943347350241178,George Town,,,653.43,50.64
Cyprus,CYP,32380.0,61.1672148800824,0.565698600025777,Nicosia,,,529.37,40.83
Czechia,CZE,28540.0,56.6540084166427,12.576104,Prague,,,503.76,38.8
